trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-143.57771213511108,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-59.317560781711734,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-82.61969565138132,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-11.81573064543457,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,2,2.1632215477890853,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,12,12.107836797132684,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,7,17.018668904916954,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,15.704829448580256,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,2.086566121429931,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-32.42169416594397,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,4.982808760931201,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,9.603165208839686,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,3,-12.05221468102399,"{0: 29, 1: 1, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,25.932466628732634,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,20,5.592405605912788,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,26.289268336612867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,14,10.446152492722302,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-30.831448894289643,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,35.180054801003976,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
