trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.988036}",20,7,-56.74609096514135,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.982107784}",20,0,-114.41803327551509,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.976215137296}",30,0,-123.01873313343393,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.970357846472224}",20,0,-1.1165935479098021,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9645356993933907}",35,27,-11.026301363045343,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9587484851970303}",30,0,-29.852835666637077,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9529959942858481}",25,6,2.2887287725200074,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.947278018320133}",25,3,33.15348867427733,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9415943502102122}",20,8,-48.61534080075518,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9359447841089509}",25,0,4.034406664035902,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9303291154042972}",25,19,9.285879736652356,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9247471407118714}",20,5,21.194427596549453,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9191986578676001}",25,0,10.931593715620249,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9136834659203946}",20,12,-3.4235468466270245,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9082013651248722}",35,0,26.964859013708164,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9027521569341229}",25,0,2.918843396468641,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8973356439925182}",20,0,-20.053843725124885,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8919516301285632}",20,6,23.116044168765143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8865999203477917}",30,0,33.52820007004128,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.881280320825705}",30,15,23.11159947355877,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8759926389007507}",25,0,36.06340284058267,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8707366830673462}",20,14,-3.550611386928529,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8655122629689421}",20,11,19.20290861977795,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8603191893911285}",20,0,30.194142067062796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8551572742547817}",20,12,11.32721348789643,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.850026330609253}",20,7,19.54661063794375,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.8449261726255975}",25,17,12.029541030193624,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.8398566155898439}",30,18,-18.12792225219713,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
