trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.988036}",25,7,-31.624060411893957,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.982107784}",25,0,-57.878681877884254,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.976215137296}",35,0,-1.0053692325824737,"{0: 31, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.970357846472224}",30,0,-69.05686352995727,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9645356993933907}",20,0,-23.785564258877002,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9587484851970303}",30,0,2.054900797668186,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9529959942858481}",20,0,9.63308182157499,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.947278018320133}",20,0,-11.477572176141708,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9415943502102122}",25,0,7.964826566049292,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9359447841089509}",20,2,-24.375273963301293,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9303291154042972}",20,0,-3.289863241984318,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9247471407118714}",25,0,-32.66666830577939,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9191986578676001}",35,0,-26.268879290098877,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9136834659203946}",20,3,-26.249740699375316,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9082013651248722}",25,7,-14.533099410259124,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9027521569341229}",20,13,12.832014980183764,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8973356439925182}",25,0,-26.125683210416973,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8919516301285632}",20,0,23.74176523288608,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8865999203477917}",25,16,16.17954966176443,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.881280320825705}",20,0,-54.48324946648474,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8759926389007507}",20,0,-0.06577130829972833,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8707366830673462}",30,0,-31.173547813394684,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8655122629689421}",25,0,-27.352069275940245,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8603191893911285}",20,0,-18.16189687330651,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
