trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.16540387576234,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.6712657444872,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.1613341245887,"{0: 10, 1: 0, 2: 5, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.50808551931726,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.07254622538467,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-218.0260955254681,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,23,-40.61910020984999,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.96308487360463,"{0: 13, 1: 0, 2: 11, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-204.1068514490381,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.25650491859103,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.46533994104979,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.1874016212425,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,5,-44.360292881383835,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.79054849065537,"{0: 15, 1: 0, 2: 10, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.71668470599934,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-224.18922359299975,"{0: 7, 1: 0, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-228.34271732430332,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.1692814247141,"{0: 7, 1: 0, 2: 11, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-378.9636662820669,"{0: 12, 1: 0, 2: 9, 3: 3, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.83360074423572,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.42088567280932,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-227.7497610252397,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.69496598103805,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.7457684314363,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.65282427622671,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-263.44381264375926,"{0: 9, 1: 0, 2: 11, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,7,-102.26139164387999,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-248.06280256891412,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,11,-107.60290659399442,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-202.6268454668837,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 2}",0
